Date,Time,Symbol,Direction,Entry,StopLoss,TakeProfit,LotSize,RiskAmount,RiskPercent,MartingaleLevel,Exit,ExitType,Pips,PnL,R-Multiple,Balance,Drawdown,Notes
2025-01-15,09:30,XAUUSD,BUY,2650.50,2645.50,2665.50,0.10,500,0.42%,1,2665.50,TP,15.00,1500,3.00,119500,0.00%,Base position - clean win
2025-01-15,10:45,XAUUSD,BUY,2665.00,2660.00,2680.00,0.10,500,0.42%,1,2660.00,SL,-5.00,-500,-1.00,119000,0.42%,Base position - stopped out
2025-01-15,11:00,XAUUSD,BUY,2658.00,2653.00,2673.00,0.15,750,0.63%,2,2653.00,SL,-5.00,-750,-1.00,118250,1.05%,Level 2 martingale - stopped
2025-01-15,11:15,XAUUSD,BUY,2651.00,2646.00,2666.00,0.20,1000,0.85%,3,2666.00,TP,15.00,3000,3.00,121250,-2.73%,Level 3 recovery - successful
2025-01-16,08:00,XAUUSD,SELL,2670.00,2675.00,2655.00,0.10,500,0.42%,1,2675.00,SL,-5.00,-500,-1.00,120750,0.00%,New sequence - base position
2025-01-16,14:30,XAUUSD,BUY,2645.00,2640.00,2660.00,0.10,500,0.42%,1,2648.00,PARTIAL,3.00,300,0.60,121050,0.00%,Partial close at 0.6R
2025-01-17,10:00,XAUUSD,BUY,2655.00,2647.00,2679.00,0.08,640,0.54%,1,2647.00,SL,-8.00,-640,-1.00,120410,0.54%,Wider stop test - failed
2025-01-17,10:15,XAUUSD,BUY,2646.00,2638.00,2670.00,0.12,960,0.81%,2,2670.00,TP,24.00,2880,3.00,123290,-1.35%,Level 2 recovery
2025-01-18,09:00,XAUUSD,SELL,2680.00,2690.00,2650.00,0.05,500,0.42%,1,2650.00,TP,30.00,1500,3.00,124790,0.00%,Conservative sizing test
2025-01-18,15:30,XAUUSD,BUY,2648.00,2643.00,2663.00,0.10,500,0.42%,1,2643.00,SL,-5.00,-500,-1.00,124290,0.42%,End of week position
